DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,CD_CARGO,DS_CARGO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCOES,QT_VOTOS_NOMINAIS,QT_VOTOS_BRANCOS,QT_VOTOS_NULOS,QT_VOTOS_LEGENDA,QT_VOTOS_ANULADOS_APU_SEP,NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,DS_LOCAL_VOTACAO_ENDERECO
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,229,11,Prefeito,384,270,114,238,15,17,0,0,2119,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,229,13,Vereador,384,270,114,234,13,13,10,0,2119,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,83,11,Prefeito,369,243,126,216,14,13,0,0,2119,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,83,13,Vereador,369,243,126,208,11,12,12,0,2119,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,94,11,Prefeito,372,239,133,208,12,19,0,0,2119,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,94,13,Vereador,372,239,133,205,9,15,10,0,2119,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,3,13,Vereador,434,270,164,243,8,5,14,0,1015,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,3,11,Prefeito,434,270,164,245,8,17,0,0,1015,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,107,11,Prefeito,461,294,167,258,13,23,0,0,1015,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,107,13,Vereador,461,294,167,259,6,14,15,0,1015,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,5,11,Prefeito,441,257,184,232,9,16,0,0,1015,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,5,13,Vereador,441,257,184,229,9,8,11,0,1015,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,60,13,Vereador,460,317,143,289,6,9,13,0,1015,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,60,11,Prefeito,460,317,143,294,14,9,0,0,1015,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,1,11,Prefeito,433,265,168,234,15,16,0,0,1015,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,1,13,Vereador,433,265,168,222,11,12,20,0,1015,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,130,13,Vereador,334,222,112,197,13,6,6,0,2011,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,130,11,Prefeito,334,222,112,192,16,14,0,0,2011,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,92,13,Vereador,338,234,104,214,6,5,9,0,2011,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,92,11,Prefeito,338,234,104,200,16,18,0,0,2011,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,174,13,Vereador,336,213,123,192,10,6,5,0,2011,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,174,11,Prefeito,336,213,123,192,11,10,0,0,2011,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,213,13,Vereador,341,255,86,233,8,5,9,0,2011,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,213,11,Prefeito,341,255,86,229,14,12,0,0,2011,#NE,#NE
